01/09/2014;479.95
31/08/2014;491.16
30/08/2014;505.44
29/08/2014;508.73
28/08/2014;512.33
27/08/2014;515.9
26/08/2014;508.63
25/08/2014;504.92
24/08/2014;504.48
23/08/2014;507.06
22/08/2014;514.54
21/08/2014;520.26
20/08/2014;487.27
19/08/2014;471.39
18/08/2014;475.66
17/08/2014;506.6
16/08/2014;500.43
15/08/2014;506.9
14/08/2014;520.16
13/08/2014;554.48
12/08/2014;571.95
11/08/2014;586.69
10/08/2014;591.23
09/08/2014;590.21
08/08/2014;592.38
07/08/2014;586.23
06/08/2014;587.2
04/08/2014;586.85
02/08/2014;592.0
31/07/2014;572.32
30/07/2014;579.46
29/07/2014;584.63
28/07/2014;583.18
27/07/2014;595.55
26/07/2014;597.6
25/07/2014;601.3
24/07/2014;611.12
23/07/2014;622.7
22/07/2014;623.47
21/07/2014;621.58
20/07/2014;628.38
19/07/2014;628.67
18/07/2014;627.85
17/07/2014;619.67
16/07/2014;620.75
15/07/2014;624.03
14/07/2014;623.86
13/07/2014;631.93
12/07/2014;633.74
11/07/2014;623.06
10/07/2014;620.52
09/07/2014;625.92
08/07/2014;624.1
07/07/2014;629.41
06/07/2014;634.6
05/07/2014;630.65
04/07/2014;639.31
03/07/2014;645.99
02/07/2014;646.26
01/07/2014;649.27
30/06/2014;617.13
29/06/2014;596.05
28/06/2014;597.36
27/06/2014;583.63
26/06/2014;571.09
25/06/2014;572.8
24/06/2014;591.72
23/06/2014;593.12
22/06/2014;600.69
21/06/2014;593.09
20/06/2014;594.26
19/06/2014;606.64
18/06/2014;609.5
17/06/2014;597.98
16/06/2014;595.47
15/06/2014;565.11
14/06/2014;579.32
13/06/2014;596.95
12/06/2014;628.19
11/06/2014;646.77
10/06/2014;652.74
09/06/2014;650.61
08/06/2014;656.03
07/06/2014;652.69
06/06/2014;656.6
05/06/2014;650.5
04/06/2014;643.51
01/06/2014;641.14
31/05/2014;615.78
30/05/2014;595.52
29/05/2014;568.37
28/05/2014;571.79
27/05/2014;574.33
26/05/2014;578.68
25/05/2014;555.87
