23/07/2014;193.63
24/07/2014;195.24
25/07/2014;194.40
28/07/2014;195.78
29/07/2014;194.57
30/07/2014;194.00
31/07/2014;191.67
01/08/2014;189.15
04/08/2014;189.64
05/08/2014;187.10
06/08/2014;185.97
07/08/2014;184.30
08/08/2014;186.63
11/08/2014;187.47
12/08/2014;187.34
13/08/2014;187.95
14/08/2014;187.88
15/08/2014;187.38
18/08/2014;189.36
19/08/2014;190.07
20/08/2014;190.10
21/08/2014;191.23
22/08/2014;190.41
25/08/2014;191.16
26/08/2014;192.99
27/08/2014;192.25
28/08/2014;192.00
29/08/2014;192.30
02/09/2014;191.56
03/09/2014;191.95
04/09/2014;190.68
05/09/2014;191.20
08/09/2014;190.14
09/09/2014;189.99
10/09/2014;191.54
11/09/2014;191.72
12/09/2014;191.28
15/09/2014;191.81
16/09/2014;192.96
17/09/2014;192.80
18/09/2014;193.75
19/09/2014;194.00
22/09/2014;193.11
23/09/2014;191.62
24/09/2014;192.31
25/09/2014;189.01
26/09/2014;190.06
29/09/2014;189.64
30/09/2014;189.83
01/10/2014;187.17
02/10/2014;186.91
03/10/2014;188.67
06/10/2014;189.04
07/10/2014;185.71
08/10/2014;189.36
09/10/2014;186.42
10/10/2014;185.93
13/10/2014;183.52
14/10/2014;183.80
15/10/2014;181.75
16/10/2014;179.84
17/10/2014;182.05
20/10/2014;169.10
21/10/2014;163.23
22/10/2014;161.79
23/10/2014;162.18
24/10/2014;162.08
27/10/2014;161.87
28/10/2014;163.60
29/10/2014;163.46
30/10/2014;164.35
31/10/2014;164.40
03/11/2014;164.36
04/11/2014;162.65
05/11/2014;161.82
06/11/2014;161.46
07/11/2014;162.07
10/11/2014;163.49
11/11/2014;163.30
12/11/2014;161.92
13/11/2014;162.79
14/11/2014;164.16
17/11/2014;164.16
18/11/2014;161.89
19/11/2014;161.43
20/11/2014;160.64
21/11/2014;160.92
24/11/2014;162.15
25/11/2014;161.76
26/11/2014;161.95
28/11/2014;162.17
01/12/2014;161.54
02/12/2014;162.67
03/12/2014;164.52
04/12/2014;164.05
05/12/2014;163.27
08/12/2014;161.86
09/12/2014;162.99
10/12/2014;160.51
11/12/2014;161.07
12/12/2014;155.38
15/12/2014;153.06
16/12/2014;151.41
17/12/2014;151.93
